vmname,destds
uk1cldevapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1ucmdaxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1ud3pgxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1ud3pgxapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udactapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udactapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udcrcsapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udcrcsapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udcrcsdbs02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uddcsxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uddcsxapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uddcsxapp03,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uddmdcweb01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udftdvweb02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udlcppapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udlpxyapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udlvxplweb01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udmcudweb01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udmcudweb02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udmcudweb03,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udmdaxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udmlexapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udpalxweb01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1udwrapsweb01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usactapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usactapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usactapp03,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usactapp04,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usdcsxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usdcsxapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usdcsxapp03,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usdcsxapp04,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usdcsxapp05,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usmdaxapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usmdaxapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usmlexapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1usmlexdbs01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uspcptapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1uspcptapp02,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
uk1utpcptapp01,UK1-NUTX-ESX-MT-NONPROD01-RF2-THIN
