#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Cluster","Configured OS","Running OS","ToolsVersion","ToolsStatus"
"HBMWPCORFS001 - FILES","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS003 - XEROX","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS005 - MAILARCHIV_OLD","PoweredOff","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS008 - CMS_OLD","PoweredOff","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS006 - EDDY","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"LOCWPCORFS001","PoweredOn","Munich_VRTX_Core_Prod2","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"Veemproxy","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","10346","guestToolsNeedUpgrade"
"HBMWPCORFS002 - CALLAS","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS011 - FLEXI_OLD","PoweredOff","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS004 - BEDATIME","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2012 (64-bit)","12288","guestToolsCurrent"
"Munich_Clone","PoweredOff","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12384","guestToolsCurrent"
"APP-MUN-UPS","PoweredOn","Munich_VRTX_Core_Prod1","Other (32-bit)","Other 3.x Linux (64-bit)","10277","guestToolsUnmanaged"
"HBMWPCORFS009 - RDS","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"HBMWPCORFS010 - SAGE","PoweredOn","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"CP-X64 - WSI-MUC-Linux","PoweredOff","Munich_VRTX_Core_Prod1","Ubuntu Linux (64-bit)",,"0","guestToolsNotInstalled"
"HBMWPCORFS007 - SUN_OLD","PoweredOff","Munich_VRTX_Core_Prod1","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"uk1wpiqspapp01r","PoweredOn","UK1-NUTX-ESX-PQS-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wslogtsdb04","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wslogtsdb03","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wplogtsdb04","PoweredOff","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)",,"12357","guestToolsCurrent"
"uk1udiqsxodb02r","PoweredOn","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 7 (64-bit)","Oracle Linux 7 (64-bit)","11269","guestToolsUnmanaged"
"uk1wtiqstapp02r","PoweredOn","UK1-NUTX-ESX-PQS-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12384","guestToolsCurrent"
"uk1upiqsapp002r","PoweredOn","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 8 (64-bit)","Oracle Linux 8 (64-bit)","12357","guestToolsUnmanaged"
"uk1upiqsapp001r","PoweredOn","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 8 (64-bit)","Oracle Linux 8 (64-bit)","12357","guestToolsUnmanaged"
"uk1upiqsxodb02r","PoweredOff","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 7 (64-bit)",,"11269","guestToolsUnmanaged"
"uk1upiqsxodb01r","PoweredOff","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 7 (64-bit)",,"11269","guestToolsUnmanaged"
"uk1udmycddbs03","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","12389","guestToolsUnmanaged"
"lo1wseolweb001","PoweredOff","UK1-NUTX-ESX-PQS-NONPROD01","Microsoft Windows Server 2008 R2 (64-bit)",,"12384","guestToolsCurrent"
"uk1udmycddbs01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","12389","guestToolsUnmanaged"
"uk1wpcbtxsdb01","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wpsanxapp01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wte2sxsdb06","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wde2sxsdb03","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wpiqspapp02","PoweredOn","UK1-NUTX-ESX-PQS-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wpiqspapp01","PoweredOn","UK1-NUTX-ESX-PQS-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1udiqsxapp01r","PoweredOff","UK1-NUTX-ESX-PQS-NONPROD01","Oracle Linux 8 (64-bit)",,"12357","guestToolsUnmanaged"
"uk1wpifspapp01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wdcoresdb01","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wpmtfsapp01","PoweredOn","UK1-NUTX-ESX-PQS-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wte2sxsdb03","PoweredOff","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)",,"12357","guestToolsCurrent"
"uk1wde2sxsdb01","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wpcorewts01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2012 (64-bit)","Microsoft Windows Server 2016 or later (64-bit)","12288","guestToolsCurrent"
"uk1wtcbtxsdb01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wpdmecapp01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wte2sxsdb07","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wdpscxweb01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsNeedUpgrade"
"uk1wscbtxsdb01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wtpscxsdb01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsNeedUpgrade"
"uk1wpcbtxsdb02","PoweredOn","UK1-NUTX-ESX-PQS-SQL01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2022 (64-bit)","12357","guestToolsCurrent"
"uk1wtpodbsdb01","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12384","guestToolsCurrent"
"uk1upcisoweb01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","12320","guestToolsUnmanaged"
"uk1wtiqstapp02","PoweredOff","UK1-NUTX-ESX-PQS-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wtpscxweb02","PoweredOn","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsNeedUpgrade"
"uk1wpsnowsdb02","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
"uk1wtiqstapp01","PoweredOff","UK1-NUTX-ESX-MT-NONPROD01","Microsoft Windows Server 2016 or later (64-bit)",,"12325","guestToolsCurrent"
"uk1wpcorefil01","PoweredOn","UK1-NUTX-ESX-MT-PROD01","Microsoft Windows Server 2016 or later (64-bit)","Microsoft Windows Server 2019 (64-bit)","12288","guestToolsCurrent"
