vmname,destds,cluster
uk1upnmatutl02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3uparmidbs01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wpfmsmsdb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wpgescsdb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wpilmeapp02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wpcoreapp07,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wtcoreapp03,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wscorapp001,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3wppodbsdb04,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3upmycddbs07,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1usmlexdbs02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1upnmatapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1svnsts02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1uppenbiapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1upmctapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1upauthapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3upauthapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1upnovxapp02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1upnovxapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3wppedidbs01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1uppcptapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3wpcoreweb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1upprloapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wpsgmasdb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wpsnowsdb02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo3wpsanaapp02,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wpttaxapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wptrkysdb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
lo1wpprntapp01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
uk1wpsnowsdb01,UK1-NUTX-ESX-MT-NONPROD01,UK1-NUTX-ESX-MT-NONPROD01
