#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","HardDiskSizeGB","Cluster"
"b3cldevapp01","1","2","10","BO3_VXR_Core_NonProd"
"mysql-prod-vm08","2","8","50","BO3_VXR_Core_Prod"
"b3clprodapp01","2","4","10","BO3_VXR_Core_Prod"
"bo3uddcsxapp01","2","4","46","BO3_VXR_Core_NonProd"
"bo3updcsxapp05","2","4","46","BO3_VXR_Core_Prod"
"bo3usdcsxapp04","2","4","36","BO3_VXR_Core_NonProd"
"bo3updcsxapp01","2","4","331","BO3_VXR_Core_Prod"
"bo3updcsxapp02","2","4","46","BO3_VXR_Core_Prod"
"bo3usdcsxapp03","2","4","36","BO3_VXR_Core_NonProd"
"bo3usdcsxapp01","2","4","36","BO3_VXR_Core_NonProd"
"bo3usdcsxapp05","2","4","36","BO3_VXR_Core_NonProd"
"bo3uddcsxapp03","2","4","56","BO3_VXR_Core_NonProd"
"bo3uddcsxapp02","2","4","56","BO3_VXR_Core_NonProd"
"bo3updcsxapp03","2","4","46","BO3_VXR_Core_Prod"
"bo3updcsxapp04","2","4","46","BO3_VXR_Core_Prod"
"bo3usdcsxapp02","2","4","36","BO3_VXR_Core_NonProd"
"bo3updmdcweb01","2","4","140","BO3_VXR_Core_Prod"
"nursingnppeapp03","1","2","20","BO3_VXR_Core_NonProd"
"nursingncertapp01","1","2","20","BO3_VXR_Core_NonProd"
"nursingncertapp02","1","2","20","BO3_VXR_Core_NonProd"
"nursingnppeapp01","1","2","20","BO3_VXR_Core_NonProd"
"nursingnppeapp02","1","2","20","BO3_VXR_Core_NonProd"
"nursingnprodapp04","2","4","20","BO3_VXR_Core_Prod"
"nursingndevapp01","2","4","20","BO3_VXR_Core_NonProd"
"nursingndevapp01","2","4","20","BO3_VXR_Core_NonProd"
"nursingnprodapp03","2","4","20","BO3_VXR_Core_Prod"
"nursingnprodapp02","2","4","20","BO3_VXR_Core_Prod"
"nursingnprodapp01","2","4","20","BO3_VXR_Core_Prod"
"bo3ucmdaxapp01","2","2","60","BO3_VXR_Core_NonProd"
"bo3ud3pgxapp01","4","8","545","BO3_VXR_Core_NonProd"
"bo3ud3pgxapp02","4","8","545","BO3_VXR_Core_NonProd"
"bo3ud3pgxdbs01","2","8","555","BO3_VXR_Core_NonProd"
"bo3ud3pgxdbs02","4","8","555","BO3_VXR_Core_NonProd"
"bo3ud3pgxdbs03","4","8","570","BO3_VXR_Core_NonProd"
"bo3udactapp01","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactapp02","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactmdb01","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactmdb02","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactmdb03","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactmdb04","2","8","140","BO3_VXR_Core_NonProd"
"bo3udactmdb05","2","8","140","BO3_VXR_Core_NonProd"
"bo3udmdaxapp01","2","2","60","BO3_VXR_Core_NonProd"
"bo3udmlexapp01","2","2","46","BO3_VXR_Core_NonProd"
"bo3usactapp01","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactapp02","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactapp03","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactapp04","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactmdb01","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactmdb02","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactmdb03","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactmdb04","2","8","140","BO3_VXR_Core_NonProd"
"bo3usactmdb05","2","8","140","BO3_VXR_Core_NonProd"
"bo3usmdaxapp01","2","3","60","BO3_VXR_Core_NonProd"
"bo3usmdaxapp02","2","3","60","BO3_VXR_Core_NonProd"
"bo3usmlexapp01","2","2","46","BO3_VXR_Core_NonProd"
"bo3usmlexdbs01","2","6","136","BO3_VXR_Core_NonProd"
"bo3wdpsvcdb01","4","6","125","BO3_VXR_Core_NonProd"
"bos3wppsvcapp01","4","8","150","BO3_VXR_Core_Prod"
"bo3wpsfpxdep001","2","8","175","BO3_VXR_Core_Prod"
"bo3wpsfpxjob001","2","6","225","BO3_VXR_Core_Prod"
"bo3wpsfpxjob002","2","4","491","BO3_VXR_Core_Prod"
"bo3wpsfpxmem001","4","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxmem002","4","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxmem003","4","8","127","BO3_VXR_Core_Prod"
"bo3wpsfpxmem004","4","8","180","BO3_VXR_Core_Prod"
"bo3wpsfpxsdb01","4","32","725","BO3_VXR_Core_Prod"
"bo3wpsfpxsdb100","16","64","18544","BO3_UCS_SQL_Prod"
"bo3wpsfpxsdb101","16","64","18544","BO3_UCS_SQL_Prod"
"bo3wpsfpxsdb102","16","64","18544","BO3_UCS_SQL_Prod"
"bo3wpsfpxsdb103","16","64","18544","BO3_UCS_SQL_Prod"
"bo3wpsfpxsol001","2","6","135","BO3_VXR_Core_Prod"
"bo3wpsfpxsol002","2","6","127","BO3_VXR_Core_Prod"
"bo3wpsfpxsol003","2","6","150","BO3_VXR_Core_Prod"
"bo3wpsfpxweb001","4","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxweb002","4","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxweb003","4","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxweb004","4","8","127","BO3_VXR_Core_Prod"
"bo3wpsfpxweb005","4","8","127","BO3_VXR_Core_Prod"
"bo3wpsfpxweb006","2","8","122","BO3_VXR_Core_Prod"
"bo3wpsfpxweb007","4","8","127","BO3_VXR_Core_Prod"
