Name,NumCpu,MemoryGB,ProvisionedGB,HardDiskSizeGB
bo3udmdaxapp01,2,2,185.36,60
bo3ucmdaxapp01,2,2,82.62,60
bo3usmdaxapp01,2,3,84.30,60
bo3usmdaxapp02,2,3,84.28,60
bo3ud3pgxapp01,4,8,734.43,545
bo3ud3pgxapp02,4,8,734.53,545
bo3ud3pgxdbs01,2,8,747.51,555
bo3ud3pgxdbs02,4,8,747.74,555
bo3ud3pgxdbs03,4,8,767.95,570
bo3usmlexapp01,2,2,65.22,46
bo3usmlexdbs01,2,6,188.07,136
bo3udmlexapp01,2,2,64.91,46
bos3wppsvcapp01,4,8,211.92,150
bo3wdpsvcdb01,4,6,182.98,125
bo3udactapp01,2,8,195.62,140
bo3udactapp02,2,8,195.59,140
bo3udactmdb01,2,8,195.59,140
bo3udactmdb02,2,8,195.58,140
bo3udactmdb03,2,8,195.67,140
bo3udactmdb04,2,8,195.65,140
bo3udactmdb05,2,8,195.70,140
bo3usactapp01,2,8,195.45,140
bo3usactapp02,2,8,195.54,140
bo3usactapp03,2,8,195.62,140
bo3usactapp04,2,8,392.56,140
bo3usactmdb01,2,8,195.47,140
bo3usactmdb02,2,8,195.75,140
bo3usactmdb03,2,8,195.69,140
bo3usactmdb04,2,8,195.67,140
bo3usactmdb05,2,8,195.52,140
bo3wqsfpxweb001,2,8,179.16,127
bo3wqsfpxweb002,2,8,178.68,127
bo3wqsfpxweb003,2,8,179.33,127
bo3wqsfpxdes001,2,4,175.92,127
bo3wqsfpxdes002,2,4,139.50,100
bo3wqsfpxmem001,4,8,151.83,107
bo3wqsfpxwrm001,2,4,174.92,127
bo3wqsfpxsol001,2,4,173.80,127
bo3wqsfpxjob001,2,4,175.28,127
bo3wqsfpxaut001,2,8,241.72,175
bo3wssfpxweb001,2,4,169.25,122
bo3wssfpxweb002,2,4,175.04,127
bo3wssfpxweb003,2,8,164.97,117
bo3wssfpxmem001,2,8,165.71,117
bo3wssfpxwrm001,2,4,161.65,117
bo3wssfpxsol001,2,6,163.08,117
bo3wssfpxdep001,2,8,269.63,195
bo3wssfpxson001,2,8,224.53,160
bo3wssfpxjob001,2,4,174.84,127
bo3wssfpxweb004,1,4,174.75,127
,113.00,320.00,11822.07,8350.00
